0,4095
7113,9690
0,4093
0,4095
0,2827
0,4095
0,4095
0,4095
0,4095
0,4093
0,4095
0,4095
0,4095
0,3450
0,4095
0,4095
0,4095
0,4095
-1024,3479
0,2917
-1024,3187
-1024,3132
0,3235
-1024,4095
-1024,4095
-1024,4095
0,2905
-1024,4095
-1024,4095
-1024,4095
0,2579
-1024,2530
-1024,4095
-1024,3655
-1024,4095
-1024,4095
-1024,3347
0,4095
-1024,4095
-1024,4095
0,4095
-1024,4095
0,4051
0,4095
0,2512
-1024,4095
0,4094
0,4026
-1024,4095
-1024,4095
0,4095
-1024,4095
-1024,4095
0,3222
0,2727
0,2397
0,4095
-1024,4095
0,3450
0,2445
0,4094
0,2633
0,4095
-1024,4095
0,2554
0,4095
-1024,4095
0,4095
0,2828
0,3744
0,4095
0,12293
-1024,4095
0,3358
-1024,3462
-1024,4095
0,4095
0,4095
-1024,4095
0,2579
0,49038
0,2332
-1024,4095
-1024,4095
0,2743
0,2979
-1024,4095
0,2263
0,4011
0,4095
-1024,2742
0,2929
-1024,4095
-1024,4095
0,4016
0,4095
-1024,4095
-1024,4095
-1024,4095
-1024,4095
